kategori,arama_niyeti,durum,kanit_veren_kaynak,bagimsiz_grup,incelenen_belge,gap_kodu,gap_aciklamasi,ornek_kaynaklar
oyun,problem_demand,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,itch.io
oyun,existing_alternatives,yeterli,2,2,2,,,"itch.io, Nintendo eShop"
oyun,dissatisfaction,yeterli,4,4,5,,,"Steam, itch.io, Metacritic"
oyun,use_case,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
oyun,competitor_discovery,yeterli,6,6,7,,,"Steam, itch.io, PlayStation Store"
oyun,observed_market_pricing,yeterli,4,4,6,,,"Steam, itch.io, Nintendo eShop"
oyun,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
regule-sektor,problem_demand,yeterli,5,4,5,,,"BTK, SPK, European Medicines Agency"
regule-sektor,existing_alternatives,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Consumer Financial Protection Bureau
regule-sektor,dissatisfaction,yeterli,2,2,2,,,"Consumer Financial Protection Bureau, UK Information Commissioner's Office"
regule-sektor,use_case,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,UK Information Commissioner's Office
regule-sektor,competitor_discovery,yeterli,3,3,3,,,"SPK, UK Information Commissioner's Office, Competition and Markets Authority"
regule-sektor,observed_market_pricing,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
regule-sektor,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
saglik,problem_demand,yeterli,3,3,4,,,"European Medicines Agency, CDC, Global Health Data Exchange"
saglik,existing_alternatives,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
saglik,dissatisfaction,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
saglik,use_case,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,NICE
saglik,competitor_discovery,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,NICE
saglik,observed_market_pricing,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,NICE
saglik,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
seyahat,problem_demand,zayif,1,1,2,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Skyscanner
seyahat,existing_alternatives,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
seyahat,dissatisfaction,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
seyahat,use_case,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Moovit
seyahat,competitor_discovery,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,FlightAware
seyahat,observed_market_pricing,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Tripadvisor
seyahat,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
turkiye-pazari,problem_demand,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Meetup
turkiye-pazari,existing_alternatives,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Bilişim Vadisi
turkiye-pazari,dissatisfaction,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Founder Institute Türkiye
turkiye-pazari,use_case,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
turkiye-pazari,competitor_discovery,yeterli,3,3,3,,,"Galata Business Angels, Arya Women Investment Platform, Meetup"
turkiye-pazari,observed_market_pricing,yeterli,3,3,3,,,"startups.watch, TÜBİTAK, Founder Institute Türkiye"
turkiye-pazari,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
yapay-zeka-urunu,problem_demand,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,AWS Marketplace
yapay-zeka-urunu,existing_alternatives,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,AWS Marketplace
yapay-zeka-urunu,dissatisfaction,zayif,1,1,2,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,OpenRouter
yapay-zeka-urunu,use_case,yeterli,2,2,2,,,"Together AI, AWS Marketplace"
yapay-zeka-urunu,competitor_discovery,yeterli,6,6,7,,,"OpenRouter, Together AI, AWS Marketplace"
yapay-zeka-urunu,observed_market_pricing,yeterli,5,5,6,,,"OpenRouter, Replicate, Together AI"
yapay-zeka-urunu,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
yeme-icme,problem_demand,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Foursquare
yeme-icme,existing_alternatives,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
yeme-icme,dissatisfaction,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
yeme-icme,use_case,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
yeme-icme,competitor_discovery,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Foursquare
yeme-icme,observed_market_pricing,yeterli,2,2,3,,,"Tripadvisor, Foursquare"
yeme-icme,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
yerel-hizmet,problem_demand,yeterli,2,2,2,,,"Foursquare, Houzz"
yerel-hizmet,existing_alternatives,bos,0,0,0,yuzey-bulunamadi,"Kaynaklara erişiliyor ve içerik var, ama bu niyete karşılık gelen yüzey (ör. /pricing, /reviews) bulunamadı. Toplama yöntemi yetersiz — pazar sinyali hakkında bir şey söylemez.",
yerel-hizmet,dissatisfaction,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,Thumbtack
yerel-hizmet,use_case,zayif,1,1,1,tek-grup,Tüm kanıt tek bağımsızlık grubundan geliyor; aynı kaynağın kopyaları bağımsız sayılmaz.,TomTom
yerel-hizmet,competitor_discovery,yeterli,2,2,2,,,"Foursquare, TomTom"
yerel-hizmet,observed_market_pricing,yeterli,6,6,7,,,"Tripadvisor, Foursquare, Thumbtack"
yerel-hizmet,stated_wtp_weak_signal,bos,0,0,0,yontem-disi,Bu niyet sayfanın adresinden okunamaz; forum ve yorum METNİNDE geçer. Bu veri kümesinde taranmadı — pazarda sinyal olmadığı anlamına GELMEZ.,
