kategori,paket,kaynak_sayisi,bagimsiz_grup,niyet_basina_grup_toplami,kapsanan_niyet,kapsanmayan_niyet,kaynaklar,gerekce
gelistirici-araci,standard,6,4,6,6,stated_wtp_weak_signal,Codeberg(problem) | Hashnode(existing) | SourceForge(dissatisfaction) | SourceForge(use) | SourceForge(competitor) | DZone(observed),"Her arama niyetinden bir bağımsız grup; 6/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
gelistirici-araci,deep,10,7,10,6,stated_wtp_weak_signal,Codeberg(problem) | Hacker News(problem) | Hashnode(existing) | SourceForge(dissatisfaction) | Codeberg(dissatisfaction) | SourceForge(use) | SourceForge(competitor) | Slashdot(competitor) | DZone(observed) | Dev.to(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 6/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
mobil-uygulama,standard,2,1,2,2,"problem_demand, existing_alternatives, dissatisfaction, use_case, stated_wtp_weak_signal",APKMirror(competitor) | APKMirror(observed),"Her arama niyetinden bir bağımsız grup; 2/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 5 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
mobil-uygulama,deep,3,2,3,2,"problem_demand, existing_alternatives, dissatisfaction, use_case, stated_wtp_weak_signal",APKMirror(competitor) | F-Droid(competitor) | APKMirror(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 2/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 5 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
ortak,standard,6,4,6,6,stated_wtp_weak_signal,Bureau of Labor Statistics(problem) | Glimpse(existing) | AppSumo(dissatisfaction) | Companies House(use) | AppSumo(competitor) | AppSumo(observed),"Her arama niyetinden bir bağımsız grup; 6/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
ortak,deep,12,9,12,6,stated_wtp_weak_signal,Bureau of Labor Statistics(problem) | Federal Reserve Economic Data(problem) | Glimpse(existing) | PitchBook(existing) | AppSumo(dissatisfaction) | ZoomInfo(dissatisfaction) | Companies House(use) | Tavily(use) | AppSumo(competitor) | Companies House(competitor) | AppSumo(observed) | Lemon Squeezy(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 6/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
oyun,standard,5,3,5,5,"use_case, stated_wtp_weak_signal",itch.io(problem) | itch.io(existing) | OpenCritic(dissatisfaction) | itch.io(competitor) | Steam(observed),"Her arama niyetinden bir bağımsız grup; 5/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
oyun,deep,9,4,9,5,"use_case, stated_wtp_weak_signal",itch.io(problem) | itch.io(existing) | Nintendo eShop(existing) | OpenCritic(dissatisfaction) | Steam(dissatisfaction) | itch.io(competitor) | Steam(competitor) | Steam(observed) | itch.io(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 5/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
regule-sektor,standard,5,3,5,5,"observed_market_pricing, stated_wtp_weak_signal",BTK(problem) | Consumer Financial Protection Bureau(existing) | UK Information Commissioner's Office(dissatisfaction) | UK Information Commissioner's Office(use) | UK Information Commissioner's Office(competitor),"Her arama niyetinden bir bağımsız grup; 5/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
regule-sektor,deep,8,5,8,5,"observed_market_pricing, stated_wtp_weak_signal",BTK(problem) | European Medicines Agency(problem) | Consumer Financial Protection Bureau(existing) | UK Information Commissioner's Office(dissatisfaction) | Consumer Financial Protection Bureau(dissatisfaction) | UK Information Commissioner's Office(use) | UK Information Commissioner's Office(competitor) | Competition and Markets Authority(competitor),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 5/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
saglik,standard,4,2,4,4,"existing_alternatives, dissatisfaction, stated_wtp_weak_signal",Global Health Data Exchange(problem) | NICE(use) | NICE(competitor) | NICE(observed),"Her arama niyetinden bir bağımsız grup; 4/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 3 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
saglik,deep,5,3,5,4,"existing_alternatives, dissatisfaction, stated_wtp_weak_signal",Global Health Data Exchange(problem) | European Medicines Agency(problem) | NICE(use) | NICE(competitor) | NICE(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 4/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 3 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
seyahat,standard,4,4,4,4,"existing_alternatives, dissatisfaction, stated_wtp_weak_signal",Skyscanner(problem) | Moovit(use) | FlightAware(competitor) | Tripadvisor(observed),"Her arama niyetinden bir bağımsız grup; 4/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 3 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
seyahat,deep,4,4,4,4,"existing_alternatives, dissatisfaction, stated_wtp_weak_signal",Skyscanner(problem) | Moovit(use) | FlightAware(competitor) | Tripadvisor(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 4/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 3 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
turkiye-pazari,standard,5,5,5,5,"use_case, stated_wtp_weak_signal",Meetup(problem) | Bilişim Vadisi(existing) | Founder Institute Türkiye(dissatisfaction) | Galata Business Angels(competitor) | startups.watch(observed),"Her arama niyetinden bir bağımsız grup; 5/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
turkiye-pazari,deep,7,6,7,5,"use_case, stated_wtp_weak_signal",Meetup(problem) | Bilişim Vadisi(existing) | Founder Institute Türkiye(dissatisfaction) | Galata Business Angels(competitor) | Arya Women Investment Platform(competitor) | startups.watch(observed) | Founder Institute Türkiye(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 5/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
yapay-zeka-urunu,standard,6,3,6,6,stated_wtp_weak_signal,AWS Marketplace(problem) | AWS Marketplace(existing) | OpenRouter(dissatisfaction) | Together AI(use) | Together AI(competitor) | AWS Marketplace(observed),"Her arama niyetinden bir bağımsız grup; 6/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
yapay-zeka-urunu,deep,9,3,9,6,stated_wtp_weak_signal,AWS Marketplace(problem) | AWS Marketplace(existing) | OpenRouter(dissatisfaction) | Together AI(use) | AWS Marketplace(use) | Together AI(competitor) | AWS Marketplace(competitor) | AWS Marketplace(observed) | Together AI(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 6/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
yeme-icme,standard,3,1,3,3,"existing_alternatives, dissatisfaction, use_case, stated_wtp_weak_signal",Foursquare(problem) | Foursquare(competitor) | Foursquare(observed),"Her arama niyetinden bir bağımsız grup; 3/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 4 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
yeme-icme,deep,4,2,4,3,"existing_alternatives, dissatisfaction, use_case, stated_wtp_weak_signal",Foursquare(problem) | Foursquare(competitor) | Foursquare(observed) | Tripadvisor(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 3/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 4 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
yerel-hizmet,standard,5,3,5,5,"existing_alternatives, stated_wtp_weak_signal",Foursquare(problem) | Thumbtack(dissatisfaction) | TomTom(use) | Foursquare(competitor) | Foursquare(observed),"Her arama niyetinden bir bağımsız grup; 5/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
yerel-hizmet,deep,8,4,8,5,"existing_alternatives, stated_wtp_weak_signal",Foursquare(problem) | Houzz(problem) | Thumbtack(dissatisfaction) | TomTom(use) | Foursquare(competitor) | TomTom(competitor) | Foursquare(observed) | Thumbtack(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 5/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
