kategori,arama_niyeti,niyet_tanimi,source_id,kaynak_adi,ornek_kayit,ornek_kayit_basligi,kanit_gerekcesi,beklenen_benzersiz_katki,alinabilen_alan,bagimsizlik_grubu,dil_pazar,tazelik,erisim_kisiti,fallback,aday_sorgu_yuzeyi,incelenen_belge_sayisi
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0287,Ashby Jobs,doc-aa6ad96f762a · https://www.ashbyhq.com/integrations,Ashby,"competitor_discovery yüzeyi olarak çekildi, 4810 karakter metin","İş ilanları ve yetenek talebi · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0287,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 472 adres (ağsız arama),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0291,We Work Remotely,doc-1473aaad4c07 · https://weworkremotely.com/categories/all-other-remote-jobs,Remote All Other Remote Jobs | We Work Remotely,"competitor_discovery yüzeyi olarak çekildi, 10636 karakter metin","İş ilanları ve yetenek talebi · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0291,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://weworkremotely.com/jobs/search?term=,1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0298,Eleman.net,doc-fe031fdf8c95 · https://www.eleman.net/meslekler/kategori/beyaz-yaka,Beyaz Yaka Meslekler ve Maaşları,"competitor_discovery yüzeyi olarak çekildi, 7612 karakter metin","İş ilanları ve yetenek talebi · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0298,tr · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (326416 bayt),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0607,Vendr,doc-33b46ccafb04 · https://www.vendr.com/categories,All Software Categories | Vendr,"competitor_discovery yüzeyi olarak çekildi, 7645 karakter metin","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0607,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (119772 bayt),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0609,Vertice,doc-3ab9b9e76604 · https://www.vertice.one/platform/integrations,Integrations | Vertice,"competitor_discovery yüzeyi olarak çekildi, 6031 karakter metin","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0609,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 765 adres (ağsız arama),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0610,Sastrify,doc-16bbcb333b95 · https://www.sastrify.com/marketplace,Marketplace | Sastrify,"competitor_discovery yüzeyi olarak çekildi, 5163 karakter metin","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0610,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (195871 bayt),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0614,Infracost,doc-8b86f213a2e7 · https://www.infracost.io/product,Infracost Cloud,"competitor_discovery yüzeyi olarak çekildi, 5953 karakter metin","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0614,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (765489 bayt),1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0065,AppSumo,doc-dfc3493d66fa · https://appsumo.com/browse/,Browse software deals for your business. | AppSumo,engagement_yorum_sayisi = 926,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, Ürün lansmanı ve startup toplulukları · alanları başka kaynakta da var, çapraz doğrulama değeri","engagement_yorum_sayisi, fiyat",grup-source-0065,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",TrustRadius,local_index · yerel dizinde 10028 adres (ağsız arama),3
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0138,TrustRadius,doc-87da683edecb · https://www.trustradius.com/application-infrastructure,List of Top Application Infrastructure Software 2025,engagement_yorum_sayisi = 48,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0138,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-03,"arşiv kopyası (Common Crawl), canlı değil · erişim anlığı 2026-09-03 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://www.trustradius.com/search?q={kelime},1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0141,SourceForge Reviews,doc-49c778af34e8 · https://sourceforge.net/software/,Compare Business Software: September 2026 Reviews & Comparison,engagement_yorum_sayisi = 2026,bu hücrede yalnız burada: surum,"engagement_yorum_sayisi, fiyat, surum",grup-source-0020,en · pazar global,sayfa yayın tarihi beyan ediyor (en yeni 2021-09-05),"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://sourceforge.net/proxy-api/search/filter-integrations?q=,3
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0143,Serchen,doc-a1f4eb592091 · https://www.serchen.com/browse,Serchen — Business Software Marketplace,engagement_yorum_sayisi = 155,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0143,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 30 adres (ağsız arama),2
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0145,SaaSworthy,doc-1055b5afe2f1 · https://www.saasworthy.com/?ref=blog.invoicely.com,SaaSworthy | Top Business Software and Reviews,engagement_yorum_sayisi = 3895,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0145,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-03,"arşiv kopyası (Common Crawl), canlı değil · erişim anlığı 2026-09-03 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://www.saasworthy.com/\/\/www.saasworthy.com\/search?s=,1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0146,SoftwareSuggest,doc-4dc9009304b6 · https://www.softwaresuggest.com/,SoftwareSuggest: Top Business Software Reviews and Recommendations,engagement_yorum_sayisi = 2,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0146,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-02,"erişim anlığı 2026-09-02 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://www.softwaresuggest.com/search/index?query=,1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0147,Tekpon,doc-d92bd058db92 · https://tekpon.com/software/actitime/reviews/,actiTIME Reviews 2025: Pricing & Features - Tekpon 2026,"dissatisfaction yüzeyi olarak çekildi, 17657 karakter metin","SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0147,en · pazar global,sayfa yayın tarihi beyan ediyor (en yeni 2022-09-17),"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 19 adres (ağsız arama),1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0149,Sitejabber,doc-dc9fc1b80472 · https://www.sitejabber.com:443/,"Check Ratings of Businesses, Read Reviews & Buy - Sitejabber",engagement_yorum_sayisi = 648,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0149,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-03,"arşiv kopyası (Common Crawl), canlı değil · erişim anlığı 2026-09-03 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://www.sitejabber.com/search?q=,1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0150,ConsumerAffairs,doc-1b07b96e922f · https://www.consumeraffairs.com:443/,ConsumerAffairs®: Research. Review. Resolve.,engagement_yorum_sayisi = 3M+,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri","engagement_yorum_sayisi, fiyat",grup-source-0150,en · pazar global,sayfa yayın tarihi beyan ediyor (en yeni 2025-02-18),"arşiv kopyası (Common Crawl), canlı değil · erişim anlığı 2026-09-03 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (387322 bayt),1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0152,Reviews.io,doc-fef0c56163b6 · https://www.reviews.io/,REVIEWS.io - Company & Product Review Collection,"engagement_yorum_sayisi = 7,000","SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0152,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-02,"erişim anlığı 2026-09-02 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://www.reviews.io/front/search?v=2&theme=new&s=,1
b2b-web-yazilimi,dissatisfaction,Mevcut çözümlerle ilgili şikâyet ve eksikler,source-0290,Remote OK,doc-d4416978817a · https://remoteok.com/,"Remote Jobs in Programming, Design, Sales and more #OpenSalaries","engagement_yorum_sayisi = 10,000+","İş ilanları ve yetenek talebi · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0290,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-02,"erişim anlığı 2026-09-02 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,opensearch · https://remoteok.com/opensearch.xml,1
b2b-web-yazilimi,existing_alternatives,"Bugün hangi ürün, yöntem veya workaround kullanıldığı",source-0286,Lever Jobs,doc-1a82faa9a1e8 · https://www.lever.co/alternative/ashby-alternatives,Best Ashby Alternatives (2026) | Lever,"existing_alternatives yüzeyi olarak çekildi, 7085 karakter metin","İş ilanları ve yetenek talebi · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0286,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",Ashby Jobs,local_index · yerel dizinde 417 adres (ağsız arama),1
b2b-web-yazilimi,existing_alternatives,"Bugün hangi ürün, yöntem veya workaround kullanıldığı",source-0287,Ashby Jobs,doc-173755f7ef01 · https://www.ashbyhq.com/compare/ashby-vs-greenhouse,Greenhouse vs Ashby - Why Ashby is the #1 All-in-One ATS | Ashby,"existing_alternatives yüzeyi olarak çekildi, 27469 karakter metin","İş ilanları ve yetenek talebi · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0287,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",Lever Jobs,local_index · yerel dizinde 472 adres (ağsız arama),1
b2b-web-yazilimi,existing_alternatives,"Bugün hangi ürün, yöntem veya workaround kullanıldığı",source-0609,Vertice,doc-5fc19743b15d · https://www.vertice.one/comparison/vertice-vs-omnea,Vertice vs Omnea | SaaS Procurement & Savings Comparison,"existing_alternatives yüzeyi olarak çekildi, 8671 karakter metin","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0609,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",Lever Jobs,local_index · yerel dizinde 765 adres (ağsız arama),1
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0065,AppSumo,doc-dfc3493d66fa · https://appsumo.com/browse/,Browse software deals for your business. | AppSumo,fiyat = $29,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, Ürün lansmanı ve startup toplulukları · alanları başka kaynakta da var, çapraz doğrulama değeri","engagement_yorum_sayisi, fiyat",grup-source-0065,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",SourceForge Reviews,local_index · yerel dizinde 10028 adres (ağsız arama),3
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0141,SourceForge Reviews,doc-49c778af34e8 · https://sourceforge.net/software/,Compare Business Software: September 2026 Reviews & Comparison,fiyat = $19,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri","engagement_yorum_sayisi, fiyat",grup-source-0020,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://sourceforge.net/proxy-api/search/filter-integrations?q=,2
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0142,Crozdesk,doc-cba093356aaa · https://crozdesk.com,Crozdesk | Business Software Search,fiyat = $5.00,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0142,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-03,"arşiv kopyası (Common Crawl), canlı değil · erişim anlığı 2026-09-03 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://crozdesk.com/search?query=,1
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0144,FinancesOnline,doc-a9f970a9e9eb · https://financesonline.com/category/b2b-news/,B2B News & Articles - FinancesOnline.com,fiyat = $20,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0144,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 38 adres (ağsız arama),1
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0147,Tekpon,doc-d92bd058db92 · https://tekpon.com/software/actitime/reviews/,actiTIME Reviews 2025: Pricing & Features - Tekpon 2026,fiyat = $ 7,"SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0147,en · pazar global,sayfa yayın tarihi beyan ediyor (en yeni 2023-05-26),"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 19 adres (ağsız arama),2
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0150,ConsumerAffairs,doc-1b07b96e922f · https://www.consumeraffairs.com:443/,ConsumerAffairs®: Research. Review. Resolve.,"fiyat = $1,400","SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri","engagement_yorum_sayisi, fiyat",grup-source-0150,en · pazar global,sayfa yayın tarihi beyan ediyor (en yeni 2025-02-18),"arşiv kopyası (Common Crawl), canlı değil · erişim anlığı 2026-09-03 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (387322 bayt),1
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0157,Tripadvisor,doc-81d1c6f37665 · https://www.tripadvisor.com/,"Tripadvisor: Over a billion reviews & contributions for Hotels, Attractions, Res",fiyat = $1,"SaaS, yazılım ve hizmet inceleme siteleri, Seyahat, konaklama ve mobilite dikeyi, Yeme-içme ve teslimat dikeyi, Yerel işletme, harita ve hizmet dizinleri · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0157,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-03,"arşiv kopyası (Common Crawl), canlı değil · erişim anlığı 2026-09-03 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://www.tripadvisor.com/Search?q={kelime},1
b2b-web-yazilimi,observed_market_pricing,"Satıcı sayfasında yayımlanan fiyat, paket ve ticari model",source-0201,BuiltWith,doc-07c2dee9042b · https://builtwith.com/,BuiltWith Technology Lookup,"fiyat = $60,000",bu hücrede yalnız burada: ozellik_basligi,"fiyat, ozellik_basligi",grup-source-0201,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 44 adres (ağsız arama),2
