kategori,soru_id,soru,soru_turu,neden_onemli,kanit_turu,kanit_kaynak_grubu,kanit_kaynak_rolu,ornek_kaynaklar,kaynak_sayisi,calisan_kaynak,neden_gecerli,zayif_alternatif
b2b-web-yazilimi,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Kategoride listelenen ürün sayısı ve toplam doğrulanmış yorum sayısı,"SaaS, yazılım ve hizmet inceleme siteleri",kategori,"Better Business Bureau, Capterra, ConsumerAffairs, Crozdesk",25,20,"Doğrulanmış yorum, ürünü satın alıp kullanan kurumdan gelir",Satıcının kendi sitesindeki referans listesi — seçilmiş örneklem
b2b-web-yazilimi,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
b2b-web-yazilimi,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Ürün/işlev adını içeren açık ilan sayısı,İş ilanları ve yetenek talebi,kategori,"Ashby Jobs, Eleman.net, FlexJobs, Indeed",24,17,Şirket para harcayarak insan arıyorsa o işlev gerçekten kullanılıyor,"LinkedIn'de o başlığa sahip kişi sayısı — geçmişi gösterir, talebi değil"
b2b-web-yazilimi,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
b2b-web-yazilimi,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",İlan hacminin çeyreklik değişimi,İş ilanları ve yetenek talebi,kategori,"Ashby Jobs, Eleman.net, FlexJobs, Indeed",24,17,İşe alım bütçesi talebin öncü göstergesidir,Tek bir tarihteki ilan sayısı
b2b-web-yazilimi,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
b2b-web-yazilimi,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hedeflediği şirket büyüklüğü ve sektör kırılımı,"SaaS, yazılım ve hizmet inceleme siteleri",kategori,"Better Business Bureau, Capterra, ConsumerAffairs, Crozdesk",25,20,Yorum yapan kurumların profili gerçek müşteri tabanını gösterir,Satıcının 'herkes için' iddiası
b2b-web-yazilimi,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
b2b-web-yazilimi,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,İlan veren şirketlerin sektör ve büyüklük dağılımı,İş ilanları ve yetenek talebi,kategori,"Ashby Jobs, Eleman.net, FlexJobs, Indeed",24,17,"Kimin işe aldığı, kimin bütçesi olduğunu gösterir",Sektör raporlarındaki genel 'hedef kitle' tanımları
eklenti-entegrasyon,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,Kategorideki eklenti sayısı ve kurulumun ilk 5'te toplanma oranı,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",kategori,"Airtable Marketplace, Atlassian Marketplace, BigCommerce App Marketplace, Canva Apps Marketplace",25,25,Kurulum yoğunlaşması pazarın kapandığını gösterir,Eklenti sayısı tek başına
eklenti-entegrasyon,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
eklenti-entegrasyon,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Ücretli eklentilerin fiyatları ve ücretsiz/ücretli oranı,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",kategori,"Airtable Marketplace, Atlassian Marketplace, BigCommerce App Marketplace, Canva Apps Marketplace",25,25,"Mağazada yayınlanmış fiyat, satıcının talep ettiği gerçek bedeldir",Eklenti sayfasındaki 'binlerce kullanıcı' ifadesi — ücretsiz kullanım olabilir
eklenti-entegrasyon,platform-kendi-ekler-mi,Platform bu işlevi kendi ekler mi?,kategoriye-ozel,Ana platform işlevi kendi eklerse eklenti bir gecede değersizleşir,Platformun sürüm notlarında benzer işlevi eklediği örnekler,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",kategori,"Airtable Marketplace, Atlassian Marketplace, BigCommerce App Marketplace, Canva Apps Marketplace",25,25,Platformun geçmiş davranışı gelecekteki riskin en iyi göstergesidir,'Platform bunu yapmaz' varsayımı
eklenti-entegrasyon,platform-politikasi,Platform politikası bu ürüne izin veriyor mu?,kategoriye-ozel,Mağaza reddi ürünü tamamen engeller; geliştirmeden önce bilinmeli,Mağaza yayın kuralları ve izin gerektiren işlev listesi,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",kategori,"Airtable Marketplace, Atlassian Marketplace, BigCommerce App Marketplace, Canva Apps Marketplace",25,25,Kural metni bağlayıcıdır,Diğer eklentilerin yaptıklarına bakmak — kural değişmiş olabilir
eklenti-entegrasyon,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
eklenti-entegrasyon,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
eklenti-entegrasyon,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
eklenti-entegrasyon,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Benzer eklentilerin kurulum sayıları,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları",kategori,"Airtable Marketplace, Atlassian Marketplace, BigCommerce App Marketplace, Canva Apps Marketplace",25,25,"Kurulum, platform tarafından sayılan gerçek bir eylemdir",Eklenti sayfasındaki yıldız ortalaması
eklenti-entegrasyon,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
eklenti-entegrasyon,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
eklenti-entegrasyon,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
eklenti-entegrasyon,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
eticaret-fiziksel-urun,birim-maliyet,Çalıştırma maliyeti sürdürülebilir mi?,kategoriye-ozel,"Çıkarım/işlem maliyeti birim ekonomiyi belirler, fiyatlandırmayı kısıtlar",Platform komisyon oranları ve kargo maliyetleri,E-ticaret ve fiziksel ürün pazar yerleri,kategori,"AliExpress, Alibaba, Amazon, CodeCanyon",24,19,"Komisyon yayınlanmış ve bağlayıcıdır, marjı doğrudan belirler",Tedarikçi tekliflerindeki tahmini maliyetler
eticaret-fiziksel-urun,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,Kategorideki satıcı sayısı ve satışın ilk 10 satıcıda toplanma oranı,E-ticaret ve fiziksel ürün pazar yerleri,kategori,"AliExpress, Alibaba, Amazon, CodeCanyon",24,19,Satışın az sayıda satıcıda toplanması pazarın kapandığını gösterir,Listeleme sayısı — aynı satıcının çok sayıda varyantı olabilir
eticaret-fiziksel-urun,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
eticaret-fiziksel-urun,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Fiyat dağılımı ve en çok satan ürünlerin fiyat bandı,E-ticaret ve fiziksel ürün pazar yerleri,kategori,"AliExpress, Alibaba, Amazon, CodeCanyon",24,19,Gerçekleşmiş satışların fiyat bandı pazarın kabul ettiği aralıktır,En pahalı ürünün fiyatı
eticaret-fiziksel-urun,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
eticaret-fiziksel-urun,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
eticaret-fiziksel-urun,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Aynı ürün kategorisindeki listeleme sayısı ve satıcı yoğunluğu,E-ticaret ve fiziksel ürün pazar yerleri,kategori,"AliExpress, Alibaba, Amazon, CodeCanyon",24,19,"Satıcı sayısı, kâr edilebildiğinin dolaylı ama güçlü göstergesidir",Arama sonucu sayısı — alakasız ürünler dahil olabilir
eticaret-fiziksel-urun,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
eticaret-fiziksel-urun,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
eticaret-fiziksel-urun,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
eticaret-fiziksel-urun,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
eticaret-fiziksel-urun,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
gelistirici-araci,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,İndirmenin ilk 3 pakette toplanma oranı,Yazılım geliştirici ve teknik topluluklar,kategori,"Ask Ubuntu, Bitbucket, CodeProject, Codeberg",34,30,Tek bir paketin baskınlığı yerleşik standart olduğunu gösterir,Toplam paket sayısı — çoğu deneysel olabilir
gelistirici-araci,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
gelistirici-araci,lisans-modeli,Lisans modeli benimsenmeyi engelliyor mu?,kategoriye-ozel,Açık kaynak beklenen bir alanda ticari lisans benimsenmeyi durdurur,Alanda baskın lisans türü ve ticari alternatiflerin benimsenme oranı,Yazılım geliştirici ve teknik topluluklar,kategori,"Ask Ubuntu, Bitbucket, CodeProject, Codeberg",34,30,Alanın lisans beklentisi benimsenmeyi doğrudan belirler,Lisans tartışmalarındaki görüş yazıları
gelistirici-araci,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Ticari lisans/destek paketi sunan alternatiflerin fiyatları,Yazılım geliştirici ve teknik topluluklar,kategori,"Ask Ubuntu, Bitbucket, CodeProject, Codeberg",34,30,Açık kaynak alanında ödeme isteği ancak ticari katmanla ölçülür,İndirme sayısı — ücretsiz kullanım ödeme isteği göstermez
gelistirici-araci,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Aynı işlevi sunan paketler ve bakım durumları (son commit, açık issue)",Yazılım geliştirici ve teknik topluluklar,kategori,"Ask Ubuntu, Bitbucket, CodeProject, Codeberg",34,30,Terk edilmiş paket rakip değildir; bakım durumu bunu ayırır,Arama sonucundaki paket sayısı
gelistirici-araci,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
gelistirici-araci,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
gelistirici-araci,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Açık issue'larda ve Stack Overflow sorularında tekrar eden başlıklar,Yazılım geliştirici ve teknik topluluklar,kategori,"Ask Ubuntu, Bitbucket, CodeProject, Codeberg",34,30,"Geliştirici sorunu kendi yaşadığı için yazar, pazarlama dili yoktur",Blog yazılarındaki 'X aracının eksikleri' listeleri
gelistirici-araci,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
gelistirici-araci,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
gelistirici-araci,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Benzer paketlerin haftalık indirme sayıları,Yazılım geliştirici ve teknik topluluklar,kategori,"Ask Ubuntu, Bitbucket, CodeProject, Codeberg",34,30,"İndirme, kurulum niyetinin ölçüsüdür ve manipüle edilmesi zordur","GitHub yıldız sayısı — ilgi gösterir, kullanım göstermez"
gelistirici-araci,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
gelistirici-araci,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
gelistirici-araci,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
