fikir,kategori,katmanlar,ekler,soru_id,soru,yuva,kaynak_grubu,kanit_turu,birincil_kaynak,yedekler,host,izin_durumu,olcum_alani,dogrulanmis_alan,kaynak_rolu,neden_secildi,yuva_sayisi
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,2,"Şirket, yatırım ve startup verisi","Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri",Dealroom,"CB Insights, PitchBook",dealroom.net,robots-izinli,kayit_sayisi,kayit_sayisi,destekleyici,"2. kanıt yuvası (Şirket, yatırım ve startup verisi); 1 alanı artefaktta doğrulanmış",3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,3,Ürün lansmanı ve startup toplulukları,Son 12 ayda aynı problemi hedefleyen lansmanlar ve aldıkları tepki,There's An AI For That,"Futurepedia, Microlaunch",theresanaiforthat.com,robots-izinli,"puan, urun_sayisi, yorum_sayisi",,destekleyici,3. kanıt yuvası (Ürün lansmanı ve startup toplulukları),3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,1,Ürün lansmanı ve startup toplulukları,Lansman yorumlarında tekrar eden eksik/istek başlıkları,There's An AI For That,"Futurepedia, Microlaunch",theresanaiforthat.com,robots-izinli,"puan, urun_sayisi, yorum_sayisi",,destekleyici,1. kanıt yuvası (Ürün lansmanı ve startup toplulukları),3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,2,Mobil uygulama mağazaları,Düşük puanlı yorumlarda tekrar eden şikâyet başlıkları,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,2. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,3,Sosyal ağlar ve açık topluluklar,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Lemmy,"Hacker News, YouTube",join-lemmy.org,api-acik,kayit_sayisi,,destekleyici,3. kanıt yuvası (Sosyal ağlar ve açık topluluklar); açık API,3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,talep-var-mi,Bu ürüne gerçekten talep var mı?,1,"Trafik, SEO, anahtar kelime ve trend",Problem ifade eden uzun kuyruk aramaların hacmi,Similarweb,"Ahrefs, SE Ranking",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Trafik, SEO, anahtar kelime ve trend); 1 alanı artefaktta doğrulanmış",3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,talep-var-mi,Bu ürüne gerçekten talep var mı?,2,Mobil uygulama mağazaları,Kategorideki uygulama sayısı ve ilk 20'nin toplam yorum hacmi,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,2. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,talep-var-mi,Bu ürüne gerçekten talep var mı?,3,Kamu verisi ve istatistik,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,TÜİK,"US Census Bureau, IMF Data",tuik.gov.tr,robots-izinli,"istatistik_serisi, trend_serisi",,destekleyici,3. kanıt yuvası (Kamu verisi ve istatistik),3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",1,"Trafik, SEO, anahtar kelime ve trend",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,Similarweb,"Ahrefs, SE Ranking",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Trafik, SEO, anahtar kelime ve trend); 1 alanı artefaktta doğrulanmış",3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",2,Akademik araştırma ve bilimsel yayınlar,Konudaki yıllık yayın sayısının eğrisi,Dimensions,"Web of Science, Lens.org",dimensions.ai,robots-izinli,"kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,2. kanıt yuvası (Akademik araştırma ve bilimsel yayınlar); 1 alanı artefaktta doğrulanmış,3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",3,Mobil uygulama mağazaları,"Sıralama değişimi ve indirme tahmini eğrisi (Sensor Tower, AppMagic)",Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,3. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,1,Reklam kütüphaneleri ve pazarlama sinyalleri,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Google Ads Transparency Center,"TikTok Creative Center, SocialPeta",adstransparency.google.com,robots-izinli,kayit_sayisi,,destekleyici,1. kanıt yuvası (Reklam kütüphaneleri ve pazarlama sinyalleri),2
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,2,Sosyal ağlar ve açık topluluklar,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Lemmy,"Hacker News, YouTube",join-lemmy.org,api-acik,kayit_sayisi,,destekleyici,2. kanıt yuvası (Sosyal ağlar ve açık topluluklar); açık API,2
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,doygun-mu,"Pazar doygun mu, boşluk var mı?",1,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",Teknoloji yığını dağılımı: kaç site hangi ürünü kullanıyor,CloudPrice,"Tropic, Capterra",cloudprice.net,robots-izinli,"fiyat, fiyat_bandi, trend_serisi, urun_sayisi",,cekirdek,"1. kanıt yuvası (Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları); kategorinin çekirdek kaynağı",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,doygun-mu,"Pazar doygun mu, boşluk var mı?",2,"SaaS, yazılım ve hizmet inceleme siteleri",Ürün sayısı ile yorum sayısının dağılımı; ilk 5'in payı,SoftwareSuggest,"Capterra, Software Advice",softwaresuggest.com,robots-izinli,"fiyat_bandi, puan, urun_sayisi, yorum_sayisi",,cekirdek,"2. kanıt yuvası (SaaS, yazılım ve hizmet inceleme siteleri); kategorinin çekirdek kaynağı",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,doygun-mu,"Pazar doygun mu, boşluk var mı?",3,Dijital ürün ve şablon pazar yerleri,Kategorideki ürün sayısı ve satışın ilk 10 satıcıda toplanma oranı,ThemeForest,"Envato Market, CodeCanyon",themeforest.net,robots-izinli,"fiyat, puan, urun_sayisi",,destekleyici,3. kanıt yuvası (Dijital ürün ve şablon pazar yerleri),3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,giris-engeli,Bu pazara girişin önünde ne var?,1,Akademik araştırma ve bilimsel yayınlar,Alandaki yayın yoğunluğu ve çözülmemiş problem başlıkları,Dimensions,"Web of Science, Lens.org",dimensions.ai,robots-izinli,"kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,1. kanıt yuvası (Akademik araştırma ve bilimsel yayınlar); 1 alanı artefaktta doğrulanmış,3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,giris-engeli,Bu pazara girişin önünde ne var?,2,Finans ve fintech dikeyi,"Lisans türleri, sermaye yeterliliği ve denetim yükümlülükleri",Investing.com,"Yahoo Finance, DefiLlama",investing.com,robots-izinli,istatistik_serisi,,ek,2. kanıt yuvası (Finans ve fintech dikeyi),3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,giris-engeli,Bu pazara girişin önünde ne var?,3,Patent ve marka,Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,The Trademark Search Company,"USPTO Trademark Search, Google Patents",thetrademarksearchcompany.com,robots-izinli,kayit_sayisi,,destekleyici,3. kanıt yuvası (Patent ve marka),3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",1,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",Aynı işlev için ödenen sözleşme bedelleri ve indirim oranları,CloudPrice,"Tropic, Capterra",cloudprice.net,robots-izinli,"fiyat, fiyat_bandi, trend_serisi, urun_sayisi",,cekirdek,"1. kanıt yuvası (Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları); kategorinin çekirdek kaynağı",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",2,"SaaS, yazılım ve hizmet inceleme siteleri",Yayınlanmış paket fiyatları ve kullanıcı başına aylık ücret aralığı,SoftwareSuggest,"Capterra, Software Advice",softwaresuggest.com,robots-izinli,"fiyat_bandi, puan, urun_sayisi, yorum_sayisi",,cekirdek,"2. kanıt yuvası (SaaS, yazılım ve hizmet inceleme siteleri); kategorinin çekirdek kaynağı",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",3,Dijital ürün ve şablon pazar yerleri,Benzer ürünlerin fiyat dağılımı ve satış adedi gösterilen listelemeler,ThemeForest,"Envato Market, CodeCanyon",themeforest.net,robots-izinli,"fiyat, puan, urun_sayisi",,destekleyici,3. kanıt yuvası (Dijital ürün ve şablon pazar yerleri),3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,1,"Domain, DNS, sertifika ve web footprint",Rakip sitelerin teknoloji izleri ve alan adı kayıt tarihleri,Similarweb,"Netcraft, WhoisXML API",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Domain, DNS, sertifika ve web footprint); 1 alanı artefaktta doğrulanmış",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,2,"Şirket, yatırım ve startup verisi","Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri",Dealroom,"CB Insights, PitchBook",dealroom.net,robots-izinli,kayit_sayisi,kayit_sayisi,destekleyici,"2. kanıt yuvası (Şirket, yatırım ve startup verisi); 1 alanı artefaktta doğrulanmış",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,3,Ürün lansmanı ve startup toplulukları,Son 12 ayda aynı problemi hedefleyen lansmanlar ve aldıkları tepki,There's An AI For That,"Futurepedia, Microlaunch",theresanaiforthat.com,robots-izinli,"puan, urun_sayisi, yorum_sayisi",,destekleyici,3. kanıt yuvası (Ürün lansmanı ve startup toplulukları),3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,1,Ürün lansmanı ve startup toplulukları,Lansman yorumlarında tekrar eden eksik/istek başlıkları,There's An AI For That,"Futurepedia, Microlaunch",theresanaiforthat.com,robots-izinli,"puan, urun_sayisi, yorum_sayisi",,destekleyici,1. kanıt yuvası (Ürün lansmanı ve startup toplulukları),3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,2,"SaaS, yazılım ve hizmet inceleme siteleri",Yorumların 'eksiler' bölümlerinde tekrar eden başlıklar,SoftwareSuggest,"Capterra, Software Advice",softwaresuggest.com,robots-izinli,"fiyat_bandi, puan, urun_sayisi, yorum_sayisi",,cekirdek,"2. kanıt yuvası (SaaS, yazılım ve hizmet inceleme siteleri); kategorinin çekirdek kaynağı",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,3,Sosyal ağlar ve açık topluluklar,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Lemmy,"Hacker News, YouTube",join-lemmy.org,api-acik,kayit_sayisi,,destekleyici,3. kanıt yuvası (Sosyal ağlar ve açık topluluklar); açık API,3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,talep-var-mi,Bu ürüne gerçekten talep var mı?,1,"Trafik, SEO, anahtar kelime ve trend",Problem ifade eden uzun kuyruk aramaların hacmi,Similarweb,"Ahrefs, SE Ranking",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Trafik, SEO, anahtar kelime ve trend); 1 alanı artefaktta doğrulanmış",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,talep-var-mi,Bu ürüne gerçekten talep var mı?,2,"SaaS, yazılım ve hizmet inceleme siteleri",Kategoride listelenen ürün sayısı ve toplam doğrulanmış yorum sayısı,SoftwareSuggest,"Capterra, Software Advice",softwaresuggest.com,robots-izinli,"fiyat_bandi, puan, urun_sayisi, yorum_sayisi",,cekirdek,"2. kanıt yuvası (SaaS, yazılım ve hizmet inceleme siteleri); kategorinin çekirdek kaynağı",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,talep-var-mi,Bu ürüne gerçekten talep var mı?,3,İş ilanları ve yetenek talebi,Ürün/işlev adını içeren açık ilan sayısı,Indeed,"Welcome to the Jungle, We Work Remotely",ca.indeed.com,robots-izinli,ilan_sayisi,,cekirdek,3. kanıt yuvası (İş ilanları ve yetenek talebi); kategorinin çekirdek kaynağı,3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",1,"Trafik, SEO, anahtar kelime ve trend",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,Similarweb,"Ahrefs, SE Ranking",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Trafik, SEO, anahtar kelime ve trend); 1 alanı artefaktta doğrulanmış",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",2,Akademik araştırma ve bilimsel yayınlar,Konudaki yıllık yayın sayısının eğrisi,Dimensions,"Web of Science, Lens.org",dimensions.ai,robots-izinli,"kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,2. kanıt yuvası (Akademik araştırma ve bilimsel yayınlar); 1 alanı artefaktta doğrulanmış,3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",3,"Haber, basın ve sektör yayınları",Alandaki yatırım turlarının yıllara göre sayısı ve büyüklüğü,Wired,"The Verge, MIT Technology Review",wired.com,robots-izinli,trend_serisi,,destekleyici,"3. kanıt yuvası (Haber, basın ve sektör yayınları)",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,1,Reklam kütüphaneleri ve pazarlama sinyalleri,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Google Ads Transparency Center,"TikTok Creative Center, SocialPeta",adstransparency.google.com,robots-izinli,kayit_sayisi,,destekleyici,1. kanıt yuvası (Reklam kütüphaneleri ve pazarlama sinyalleri),3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,2,"SaaS, yazılım ve hizmet inceleme siteleri",Rakiplerin hedeflediği şirket büyüklüğü ve sektör kırılımı,SoftwareSuggest,"Capterra, Software Advice",softwaresuggest.com,robots-izinli,"fiyat_bandi, puan, urun_sayisi, yorum_sayisi",,cekirdek,"2. kanıt yuvası (SaaS, yazılım ve hizmet inceleme siteleri); kategorinin çekirdek kaynağı",3
muhasebeciler için fatura yazılımı,b2b-web-yazilimi,,fintech,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,3,İş ilanları ve yetenek talebi,İlan veren şirketlerin sektör ve büyüklük dağılımı,Indeed,"Welcome to the Jungle, We Work Remotely",ca.indeed.com,robots-izinli,ilan_sayisi,,cekirdek,3. kanıt yuvası (İş ilanları ve yetenek talebi); kategorinin çekirdek kaynağı,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,cografi-yogunluk,Hedef bölgede yeterli yoğunluk var mı?,1,"Yerel işletme, harita ve hizmet dizinleri",Hedef şehirdeki işletme sayısı ve yorum yoğunluğu,Houzz,"Booksy, TomTom",houzz.com,robots-izinli,"fiyat_bandi, kayit_sayisi, puan, yorum_sayisi",,cekirdek,"1. kanıt yuvası (Yerel işletme, harita ve hizmet dizinleri); kategorinin çekirdek kaynağı",1
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,doygun-mu,"Pazar doygun mu, boşluk var mı?",1,Mobil uygulama mağazaları,İlk 20'nin yorum sayısı dağılımı ve son güncelleme tarihleri,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,doygun-mu,"Pazar doygun mu, boşluk var mı?",2,"Yerel işletme, harita ve hizmet dizinleri",Bölgedeki hizmet sağlayıcı sayısı ve yorumun ilk 10'da toplanma oranı,Houzz,"Booksy, TomTom",houzz.com,robots-izinli,"fiyat_bandi, kayit_sayisi, puan, yorum_sayisi",,cekirdek,"2. kanıt yuvası (Yerel işletme, harita ve hizmet dizinleri); kategorinin çekirdek kaynağı",3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,doygun-mu,"Pazar doygun mu, boşluk var mı?",3,Dijital ürün ve şablon pazar yerleri,Kategorideki ürün sayısı ve satışın ilk 10 satıcıda toplanma oranı,ThemeForest,"Envato Market, CodeCanyon",themeforest.net,robots-izinli,"fiyat, puan, urun_sayisi",,destekleyici,3. kanıt yuvası (Dijital ürün ve şablon pazar yerleri),3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,giris-engeli,Bu pazara girişin önünde ne var?,1,Akademik araştırma ve bilimsel yayınlar,Alandaki yayın yoğunluğu ve çözülmemiş problem başlıkları,Dimensions,"Web of Science, Lens.org",dimensions.ai,robots-izinli,"kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,1. kanıt yuvası (Akademik araştırma ve bilimsel yayınlar); 1 alanı artefaktta doğrulanmış,2
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,giris-engeli,Bu pazara girişin önünde ne var?,2,Patent ve marka,Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,The Trademark Search Company,"USPTO Trademark Search, Google Patents",thetrademarksearchcompany.com,robots-izinli,kayit_sayisi,,destekleyici,2. kanıt yuvası (Patent ve marka),2
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,kesfedilebilirlik,Ürün platformda keşfedilebilir mi?,1,Mobil uygulama mağazaları,Kategorideki toplam uygulama sayısı ve ilk sayfaya girme eşiği,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,1
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",1,Mobil uygulama mağazaları,"Ücretli uygulamaların fiyat aralığı, uygulama içi satın alma kalemleri",Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",2,"Yerel işletme, harita ve hizmet dizinleri",Hizmet fiyat aralıkları ve platform komisyonları,Houzz,"Booksy, TomTom",houzz.com,robots-izinli,"fiyat_bandi, kayit_sayisi, puan, yorum_sayisi",,cekirdek,"2. kanıt yuvası (Yerel işletme, harita ve hizmet dizinleri); kategorinin çekirdek kaynağı",3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",3,Dijital ürün ve şablon pazar yerleri,Benzer ürünlerin fiyat dağılımı ve satış adedi gösterilen listelemeler,ThemeForest,"Envato Market, CodeCanyon",themeforest.net,robots-izinli,"fiyat, puan, urun_sayisi",,destekleyici,3. kanıt yuvası (Dijital ürün ve şablon pazar yerleri),3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,platform-politikasi,Platform politikası bu ürüne izin veriyor mu?,1,Mobil uygulama mağazaları,Mağazanın yayın kuralları ve reddedilen işlev listeleri,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,1
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,1,"Domain, DNS, sertifika ve web footprint",Rakip sitelerin teknoloji izleri ve alan adı kayıt tarihleri,Similarweb,"Netcraft, WhoisXML API",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Domain, DNS, sertifika ve web footprint); 1 alanı artefaktta doğrulanmış",3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,2,"Şirket, yatırım ve startup verisi","Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri",Dealroom,"CB Insights, PitchBook",dealroom.net,robots-izinli,kayit_sayisi,kayit_sayisi,destekleyici,"2. kanıt yuvası (Şirket, yatırım ve startup verisi); 1 alanı artefaktta doğrulanmış",3
